id,name,sort_name,email,twitter,facebook,group,group_id,area_id,area,chamber,term,start_date,end_date,image,gender,wikidata,wikidata_group,wikidata_area
2ca0b963-d5ec-401f-bb00-e098d80caf10,Adam Tomkins,Adam Tomkins,,,,Conservative,716f311e-eac7-455c-b890-aed7db66b0f5,uk.org.publicwhip/cons/10717,Glasgow,Scottish Parliament,5,2016-05-07,2021-05-05,,,,Q3243587,Q1529479
965b77c8-e03b-45b6-ba3c-a8063c19d603,Aileen Campbell,Aileen Campbell,,,,Scottish National Party,0f64137d-d78d-497f-ba8c-559f8840047c,uk.org.publicwhip/cons/10736,Clydesdale,Scottish Parliament,5,2016-05-07,2021-05-05,,,,Q10658,Q1022403
58e68d1c-ced7-4549-b888-e72172417fc5,Alasdair Allan,Alasdair Allan,Alasdair.Allan.msp@parliament.scot,,,Scottish National Party,0f64137d-d78d-497f-ba8c-559f8840047c,uk.org.publicwhip/cons/10816,Na h-Eileanan an Iar,Scottish Parliament,5,2016-05-07,2021-05-05,http://scottishparliament.thirdlight.com/file/35800892437,,,Q10658,Q1961874
58e68d1c-ced7-4549-b888-e72172417fc5,Alasdair Allan,Alasdair Allan,Alasdair.Allan.msp@parliament.scot,,,Scottish National Party,0f64137d-d78d-497f-ba8c-559f8840047c,uk.org.publicwhip/cons/10816,Na h-Eileanan an Iar,Scottish Parliament,5,2021-05-08,,http://scottishparliament.thirdlight.com/file/35800892437,,,Q10658,Q1961874
57fed160-66a8-4daa-a9fc-0322b40ee898,Alex Cole-Hamilton,Alex Cole-Hamilton,Alex.Cole-Hamilton.msp@parliament.scot,,,Liberal Democrat,d0527c28-097e-48ba-bcb2-fa5a61478f20,uk.org.publicwhip/cons/10815,Edinburgh Western,Scottish Parliament,5,2016-05-07,2021-05-05,http://scottishparliament.thirdlight.com/file/35781571595,,,Q3250438,Q1284768
57fed160-66a8-4daa-a9fc-0322b40ee898,Alex Cole-Hamilton,Alex Cole-Hamilton,Alex.Cole-Hamilton.msp@parliament.scot,,,Liberal Democrat,d0527c28-097e-48ba-bcb2-fa5a61478f20,uk.org.publicwhip/cons/10815,Edinburgh Western,Scottish Parliament,5,2021-05-08,,http://scottishparliament.thirdlight.com/file/35781571595,,,Q3250438,Q1284768
d52ca4e4-8d75-4a95-86c0-b3217da52dfe,Alex Johnstone,Alex Johnstone,,,,Conservative,716f311e-eac7-455c-b890-aed7db66b0f5,uk.org.publicwhip/cons/10721,North East Scotland,Scottish Parliament,5,2016-05-07,2016-12-07,https://upload.wikimedia.org/wikipedia/commons/a/a4/AlexJohnstoneMSP20110509.JPG,male,Q2641395,Q3243587,Q1647853
5f19bd67-41b4-418f-a7a0-667492cea2fa,Alex Neil,Alex Neil,,,,Scottish National Party,0f64137d-d78d-497f-ba8c-559f8840047c,uk.org.publicwhip/cons/10727,Airdrie and Shotts,Scottish Parliament,5,2016-05-07,2021-05-05,https://upload.wikimedia.org/wikipedia/commons/6/69/AlexNeilMSP20110507.jpg,male,Q1515752,Q10658,Q408547
5adf602a-71b3-4501-ae59-0dd754d69f7b,Alex Rowley,Alex Rowley,Alex.Rowley.msp@parliament.scot,,,Labour,8dff8a5d-91be-4b18-bad0-bf082068fe0a,uk.org.publicwhip/cons/10720,Mid Scotland and Fife,Scottish Parliament,5,2016-05-07,2021-05-05,http://scottishparliament.thirdlight.com/file/35786781393,,,Q3179541,Q1931762
5adf602a-71b3-4501-ae59-0dd754d69f7b,Alex Rowley,Alex Rowley,Alex.Rowley.msp@parliament.scot,,,Labour,8dff8a5d-91be-4b18-bad0-bf082068fe0a,uk.org.publicwhip/cons/10720,Mid Scotland and Fife,Scottish Parliament,5,2021-05-08,,http://scottishparliament.thirdlight.com/file/35786781393,,,Q3179541,Q1931762
